Time [s],Channel 0,Channel 1
0.005184220,1,0
0.005559180,0,0
0.025184440,0,1
0.025559340,1,1
0.045184660,1,0
0.045558960,0,0
0.065184880,0,1
0.065558840,1,1
0.085185120,1,0
0.085558740,0,0
0.105185320,0,1
0.105559240,1,1
0.125185560,1,0
0.125558980,0,0
0.145185760,0,1
0.145558820,1,1
0.165186000,1,0
0.165558840,0,0
0.185180220,0,1
0.185558620,1,1
0.205180460,1,0
0.205558100,0,0
0.225186640,0,1
0.225558120,1,1
0.245186880,1,0
0.245557860,0,0
0.265187080,0,1
0.265557760,1,1
0.285187320,1,0
0.285557640,0,0
0.305187520,0,1
0.305557560,1,1
0.325187760,1,0
0.325557480,0,0
0.345187960,0,1
0.345557940,1,1
0.365188200,1,0
0.365557220,0,0
0.385188400,0,1
0.385557220,1,1
0.405188640,1,0
0.405557200,0,0
0.425188860,0,1
0.425556920,1,1
0.445189080,1,0
0.445556780,0,0
0.465189300,0,1
0.465557060,1,1
0.485189520,1,0
0.485556740,0,0
0.505189740,0,1
0.505556500,1,1
0.525189960,1,0
0.525556420,0,0
0.545190180,0,1
0.545556280,1,1
0.565190400,1,0
0.565556140,0,0
0.585190620,0,1
0.585556080,1,1
0.605190860,1,0
0.605555980,0,0
0.625191060,0,1
0.625555820,1,1
0.645191300,1,0
0.645555740,0,0
0.665191500,0,1
0.665555620,1,1
0.685191740,1,0
0.685555520,0,0
0.705191940,0,1
0.705555420,1,1
0.725192180,1,0
0.725555300,0,0
0.745192380,0,1
0.745555220,1,1
0.765192620,1,0
0.765555100,0,0
0.785192820,0,1
0.785554940,1,1
0.805193060,1,0
0.805554920,0,0
0.825193260,0,1
0.825554720,1,1
0.845193500,1,0
0.845554700,0,0
0.865193700,0,1
0.865554520,1,1
0.885193940,1,0
0.885554460,0,0
0.905194140,0,1
0.905554360,1,1
0.925194380,1,0
0.925554260,0,0
0.945194580,0,1
0.945554120,1,1
0.965194820,1,0
0.965554000,0,0
0.985195020,0,1
0.985553980,1,1
1.005195260,1,0
1.005553820,0,0
1.025195460,0,1
1.025553660,1,1
1.045195700,1,0
1.045553600,0,0
1.065195900,0,1
1.065553440,1,1
1.085196140,1,0
1.085553340,0,0
1.105196360,0,1
1.105553220,1,1
1.125196580,1,0
1.125553140,0,0
1.145196800,0,1
1.145553000,1,1
1.165197020,1,0
1.165553560,0,0
1.185191260,0,1
1.185553160,1,1
1.205191480,1,0
1.205552720,0,0
1.225197680,0,1
1.225552780,1,1
1.245197900,1,0
1.245552500,0,0
1.265198120,0,1
1.265552420,1,1
1.285198340,1,0
1.285552260,0,0
1.305198560,0,1
1.305552140,1,1
1.325198780,1,0
1.325552100,0,0
1.345199000,0,1
1.345552040,1,1
1.365199220,1,0
1.365552400,0,0
1.385199440,0,1
1.385552340,1,1
1.405199660,1,0
1.405551840,0,0
1.425199880,0,1
1.425551500,1,1
1.445200100,1,0
1.445551900,0,0
1.465200320,0,1
1.465551640,1,1
1.485200540,1,0
1.485551800,0,0
1.505200760,0,1
1.505551280,1,1
1.525200980,1,0
1.525551000,0,0
1.545201200,0,1
1.545550860,1,1
1.565201440,1,0
1.565550740,0,0
1.585201640,0,1
1.585550900,1,1
1.605201880,1,0
1.605550560,0,0
1.625202080,0,1
1.625550440,1,1
1.645202320,1,0
1.645550320,0,0
1.665202520,0,1
1.665550260,1,1
1.685202760,1,0
1.685550160,0,0
1.705202960,0,1
1.705550040,1,1
1.725203200,1,0
1.725549900,0,0
1.745203400,0,1
1.745549780,1,1
1.765203640,1,0
1.765549800,0,0
1.785203840,0,1
1.785549620,1,1
1.805204080,1,0
1.805549660,0,0
1.825204280,0,1
1.825549340,1,1
1.845204520,1,0
1.845549340,0,0
1.865204720,0,1
1.865549200,1,1
1.885204960,1,0
1.885549020,0,0
1.905205160,0,1
1.905548980,1,1
1.925205400,1,0
1.925548840,0,0
1.945205600,0,1
1.945548760,1,1
1.965205840,1,0
1.965548600,0,0
1.985206040,0,1
1.985548620,1,1
2.005206280,1,0
2.005548440,0,0
2.025206480,0,1
2.025548280,1,1
2.045206720,1,0
2.045548240,0,0
2.065206920,0,1
2.065548120,1,1
2.085207160,1,0
2.085548020,0,0
2.105207360,0,1
2.105547880,1,1
2.125207600,1,0
2.125547760,0,0
2.145207800,0,1
2.145547640,1,1
2.165208040,1,0
2.165547580,0,0
2.185202260,0,1
2.185547900,1,1
2.205202500,1,0
2.205547360,0,0
2.225208680,0,1
2.225547240,1,1
2.245208920,1,0
2.245547220,0,0
2.265209120,0,1
2.265547020,1,1
2.285209360,1,0
2.285546920,0,0
2.305209560,0,1
2.305546780,1,1
2.325209800,1,0
2.325546720,0,0
2.345210000,0,1
2.345546720,1,1
2.365210240,1,0
2.365546500,0,0
2.385210440,0,1
2.385546440,1,1
2.405210680,1,0
2.405546320,0,0
2.425210880,0,1
2.425546120,1,1
2.445211120,1,0
2.445546080,0,0
2.465211320,0,1
2.465546420,1,1
2.485211560,1,0
2.485545840,0,0
