Time [s],Channel 0,Channel 1
15.666984920,1,1
15.716585200,1,0
15.716984280,0,0
15.766364200,0,1
15.766984620,1,1
15.816360420,1,0
15.816983760,0,0
15.866362420,0,1
15.866983120,1,1
15.916365000,1,0
15.916982960,0,0
15.966361540,0,1
15.966982120,1,1
16.016364140,1,0
16.016981800,0,0
16.066366520,0,1
16.066981160,1,1
16.116363260,1,0
16.116980740,0,0
16.166365340,0,1
16.166980300,1,1
16.216367880,1,0
16.216979940,0,0
16.266364280,0,1
16.266979480,1,1
16.316367280,1,0
16.316979460,0,0
16.366369640,0,1
16.366978580,1,1
16.416366720,1,0
16.416978440,0,0
16.466367560,0,1
16.466978080,1,1
16.516369740,1,0
16.516977360,0,0
16.566371740,0,1
16.566977340,1,1
16.616368900,1,0
16.616976440,0,0
16.666370920,0,1
16.666975940,1,1
16.716373460,1,0
16.716975480,0,0
16.766370380,0,1
16.766975040,1,1
16.816372560,1,0
16.816974820,0,0
16.866374940,0,1
16.866974200,1,1
16.916372040,1,0
16.916973780,0,0
16.966374480,0,1
16.966973420,1,1
17.016376660,1,0
17.016973240,0,0
17.066378600,0,1
17.066972420,1,1
17.116374820,1,0
17.116971960,0,0
17.166376800,0,1
17.166971680,1,1
17.216379380,1,0
17.216971120,0,0
17.266375980,0,1
17.266970760,1,1
17.316378560,1,0
17.316970380,0,0
17.366380920,0,1
17.366969760,1,1
17.416378060,1,0
17.416969700,0,0
17.466379460,0,1
17.466969400,1,1
17.516382020,1,0
17.516968740,0,0
17.566378420,0,1
17.566968040,1,1
17.616381420,1,0
17.616967800,0,0
17.666383780,0,1
17.666967180,1,1
17.716380860,1,0
17.716966960,0,0
17.766382880,0,1
17.766966660,1,1
17.816385420,1,0
17.816965920,0,0
17.866382340,0,1
17.866965380,1,1
17.916384540,1,0
17.916965020,0,0
17.966386900,0,1
17.966964540,1,1
18.016384000,1,0
18.016964700,0,0
18.066386440,0,1
18.066963620,1,1
18.116388600,1,0
18.116963220,0,0
18.166390560,0,1
18.166962800,1,1
18.216386760,1,0
18.216962400,0,0
18.266388760,0,1
18.266961960,1,1
18.316391340,1,0
18.316961540,0,0
18.366387940,0,1
18.366961060,1,1
18.416390500,1,0
18.416961320,0,0
18.466392860,0,1
18.466960540,1,1
18.516390000,1,0
18.516960280,0,0
18.566392340,0,1
18.566959300,1,1
18.616395300,1,0
18.616959000,0,0
18.666391700,0,1
18.666958560,1,1
18.716393920,1,0
18.716957960,0,0
18.766395500,0,1
18.766957560,1,1
18.816397620,1,0
18.816957420,0,0
18.866394520,0,1
18.866956680,1,1
18.916396700,1,0
18.916985580,0,0
18.966399000,0,1
18.966955800,1,1
19.016396160,1,0
19.016955540,0,0
19.066398520,0,1
19.066955280,1,1
19.116400640,1,0
19.116954580,0,0
19.166397100,0,1
19.166954420,1,1
19.216399320,1,0
19.216953600,0,0
19.266400920,0,1
19.266953280,1,1
19.316403040,1,0
19.316952820,0,0
19.366399940,0,1
19.366952300,1,1
19.416402120,1,0
19.416952480,0,0
19.466398800,0,1
19.466951640,1,1
19.516401800,1,0
19.516951180,0,0
19.566403860,0,1
19.566950540,1,1
19.616400440,1,0
19.616950540,0,0
19.666403320,0,1
19.666949820,1,1
19.716405860,1,0
19.716949200,0,0
19.766402260,0,1
19.766948960,1,1
19.816405260,1,0
19.816948360,0,0
19.866407600,0,1
19.866948080,1,1
19.916404700,1,0
19.916947500,0,0
19.966406720,0,1
19.966947040,1,1
20.016409240,1,0
20.016946920,0,0
20.066406160,0,1
20.066946160,1,1
20.116408340,1,0
20.116945820,0,0
20.166410720,0,1
20.166945440,1,1
20.216407800,1,0
20.216944840,0,0
20.266410240,0,1
20.266944740,1,1
20.316412420,1,0
20.316944300,0,0
20.366414360,0,1
20.366943520,1,1
20.416410560,1,0
20.416943120,0,0
20.466411080,0,1
20.466943100,1,1
20.516413660,1,0
20.516942320,0,0
20.566416360,0,1
20.566942020,1,1
20.616413460,1,0
20.616941380,0,0
20.666415800,0,1
20.666940940,1,1
20.716417940,1,0
20.716940640,0,0
20.766414380,0,1
20.766940160,1,1
20.816416600,1,0
20.816939580,0,0
20.866418200,0,1
20.866939360,1,1
20.916420320,1,0
20.916938800,0,0
20.966417220,0,1
20.966938400,1,1
21.016419380,1,0
21.016938140,0,0
21.066421700,0,1
21.066937600,1,1
21.116418840,1,0
21.116936940,0,0
21.166421200,0,1
21.166936580,1,1
21.216423320,1,0
21.216936220,0,0
21.266419780,0,1
21.266936060,1,1
21.316422000,1,0
21.316935240,0,0
21.366423580,0,1
21.366934760,1,1
21.416425700,1,0
21.416934520,0,0
21.466421940,0,1
21.466934680,1,1
21.516424160,1,0
21.516934000,0,0
21.566425740,0,1
21.566933020,1,1
21.616427840,1,0
21.616932560,0,0
21.666424760,0,1
21.666932320,1,1
21.716426920,1,0
21.716931760,0,0
21.766721320,0,1
21.766931800,1,1
21.816723860,1,0
21.816931080,0,0
21.866726160,0,1
21.866930840,1,1
21.916723240,1,0
21.916930020,0,0
21.966725300,0,1
21.966929700,1,1
22.016727780,1,0
22.016929400,0,0
22.066724760,0,1
22.066928820,1,1
22.116727300,1,0
22.116928240,0,0
22.166729600,0,1
22.166927800,1,1
22.216726700,1,0
22.216927360,0,0
22.266729040,0,1
22.266927160,1,1
